order_id,store_jid,product,quantity,time_to_delivery,final_state,origin_warehouse,ETA,current_tick
101000262,store1_test@localhost,D,6,8.209000000000003,delivered,warehouse1_test@localhost,5.295999999999999,458.4649999999999
101000265,store1_test@localhost,D,1,15.228999999999871,delivered,warehouse1_test@localhost,10.591999999999999,472.2749999999998
101000266,store1_test@localhost,C,15,15.228999999999871,delivered,warehouse1_test@localhost,10.591999999999999,472.2749999999998
101000268,store1_test@localhost,D,2,13.809999999999889,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000269,store1_test@localhost,C,19,9.932999999999879,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000270,store1_test@localhost,B,10,9.932999999999879,delivered,warehouse1_test@localhost,1.419,472.2749999999998
101000271,store1_test@localhost,D,12,8.513999999999896,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000272,store1_test@localhost,B,12,7.094999999999914,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000273,store1_test@localhost,C,6,7.094999999999914,delivered,warehouse1_test@localhost,1.419,472.2749999999998
101000274,store1_test@localhost,C,15,5.675999999999931,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000275,store1_test@localhost,C,16,4.256999999999948,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000276,store1_test@localhost,D,9,2.8379999999999654,delivered,warehouse1_test@localhost,5.295999999999999,472.2749999999998
101000277,store1_test@localhost,C,4,2.8379999999999654,delivered,warehouse1_test@localhost,1.419,472.2749999999998
101000278,store1_test@localhost,D,10,7.906000000000006,delivered,warehouse1_test@localhost,5.295999999999999,480.1809999999998
101000281,store1_test@localhost,A,13,1.4189999999999827,delivered,warehouse1_test@localhost,1.419,480.1809999999998
101000280,store1_test@localhost,A,2,5.295999999999992,delivered,warehouse1_test@localhost,1.419,480.1809999999998
101000279,store1_test@localhost,A,2,5.295999999999992,delivered,warehouse1_test@localhost,1.419,480.1809999999998
101000267,store1_test@localhost,D,2,21.715999999999894,delivered,warehouse1_test@localhost,5.295999999999999,480.1809999999998
