timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 23:38:57.620,,order_102000000,astar,1,1.021,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:38:57.621,,vehiclee1@localhost,astar,1,1.028,0,14.273,0,order_102000000
2025-11-19 23:38:57.625,,order_102000000,astar,1,1.016,5,13.615,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:38:57.626,,vehiclee2@localhost,astar,1,1.019,0,13.615,0,order_102000000
2025-11-19 23:38:57.629,,order_102000000,astar,1,1.024,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:38:57.631,,vehiclee3@localhost,astar,1,1.573,0,14.273,0,order_102000000
2025-11-19 23:38:58.627,,vehiclee2@localhost,astar,1,1.538,3,13.615,0,"[25, 17, 25]"
2025-11-19 23:39:00.591,,order_102000001,astar,1,1.018,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:00.593,,vehiclee1@localhost,astar,1,1.025,0,14.273,0,order_102000001
2025-11-19 23:39:00.597,,order_102000001,astar,1,1.531,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:00.598,,vehiclee3@localhost,astar,1,1.019,0,14.273,0,order_102000001
2025-11-19 23:39:01.611,,vehiclee1@localhost,astar,1,1.026,3,14.273,0,"[24, 17, 25]"
2025-11-19 23:39:05.596,,order_102000002,astar,1,1.023,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:05.597,,vehiclee3@localhost,astar,1,1.022,0,14.273,0,order_102000002
2025-11-19 23:39:06.566,,vehiclee3@localhost,astar,1,1.024,3,14.273,0,"[24, 17, 25]"
2025-11-19 23:39:08.532,,order_202000000,astar,1,1.027,2,11.239,0.162,"[Node(16), Node(17)]"
2025-11-19 23:39:08.534,,vehiclee1@localhost,astar,1,1.02,3,11.71,0,"[25, 16, 17]"
2025-11-19 23:39:08.536,,order_202000000,astar,1,1.021,2,11.71,0.162,"[Node(16), Node(17)]"
2025-11-19 23:39:08.538,,vehiclee2@localhost,astar,1,1.024,3,11.71,0,"[25, 16, 17]"
2025-11-19 23:39:08.540,,order_202000000,astar,1,1.027,2,11.239,0.162,"[Node(16), Node(17)]"
2025-11-19 23:39:08.542,,vehiclee3@localhost,astar,1,1.53,3,11.71,0,"[25, 16, 17]"
2025-11-19 23:39:10.597,,order_102000003,astar,1,1.026,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:10.601,,order_102000003,astar,1,1.017,5,13.615,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:10.604,,order_102000003,astar,1,1.035,5,14.273,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:11.601,,vehiclee2@localhost,astar,2,2.556,5,13.615,0,"[25, 17, 17, 25, 25]"
2025-11-19 23:39:15.588,,order_102000004,astar,1,1.534,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:15.592,,order_102000004,astar,1,1.539,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:15.596,,order_102000004,astar,1,1.026,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:16.577,,vehiclee2@localhost,astar,3,3.073,7,24.254,0,"[19, 17, 17, 25, 25, 17, 25]"
2025-11-19 23:39:20.591,,order_102000005,astar,1,1.016,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:20.594,,order_102000005,astar,1,1.023,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:20.599,,order_102000005,astar,1,1.022,5,10.639,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:21.581,,vehiclee2@localhost,astar,4,3.063,9,24.254,0,"[19, 17, 17, 25, 25, 17, 17, 25, 25]"
2025-11-19 23:39:25.603,,order_101000000,astar,1,1.023,4,5.062,0.457,"[Node(17), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:25.604,,vehiclee1@localhost,astar,1,1.023,3,11.787,0,"[25, 17, 24]"
2025-11-19 23:39:25.606,,order_101000000,astar,1,1.033,4,5.062,0.457,"[Node(17), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:25.611,,vehiclee2@localhost,astar,1,1.027,3,11.787,0,"[25, 17, 24]"
2025-11-19 23:39:25.613,,order_101000000,astar,1,1.017,4,5.062,0.457,"[Node(17), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:25.614,,vehiclee3@localhost,astar,1,1.019,3,11.787,0,"[25, 17, 24]"
2025-11-19 23:39:25.617,,order_102000006,astar,1,1.026,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:25.618,,vehiclee1@localhost,astar,1,1.557,3,13.615,0,"[25, 17, 25]"
2025-11-19 23:39:25.620,,order_102000006,astar,1,1.023,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:25.625,,order_102000006,astar,1,1.525,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:25.626,,vehiclee3@localhost,astar,1,1.025,3,13.615,0,"[25, 17, 25]"
2025-11-19 23:39:26.602,,vehiclee2@localhost,astar,5,2.042,11,34.12,0,"[17, 17, 17, 25, 25, 17, 17, 25, 25, 17, 25]"
2025-11-19 23:39:30.605,,order_102000007,astar,1,1.045,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:30.608,,vehiclee1@localhost,astar,2,3.072,5,26.06,0,"[25, 17, 24, 17, 25]"
2025-11-19 23:39:30.610,,order_102000007,astar,1,1.02,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:30.614,,order_102000007,astar,1,1.531,5,6.89,0.565,"[Node(17), Node(22), Node(23), Node(24), Node(25)]"
2025-11-19 23:39:30.615,,vehiclee3@localhost,astar,1,1.025,3,13.615,0,"[25, 17, 25]"
2025-11-19 23:39:30.617,,order_101000001,astar,1,1.023,4,9.062,0.673,"[Node(3), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:30.622,,vehiclee1@localhost,astar,2,4.096,5,24.953,0,"[25, 17, 24, 3, 24]"
2025-11-19 23:39:30.624,,order_101000001,astar,1,1.03,4,9.062,0.673,"[Node(3), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:30.625,,vehiclee2@localhost,astar,1,1.017,3,14.739,0,"[25, 3, 24]"
2025-11-19 23:39:30.627,,order_101000001,astar,1,1.029,4,9.062,0.673,"[Node(3), Node(22), Node(23), Node(24)]"
2025-11-19 23:39:30.629,,vehiclee3@localhost,astar,1,1.026,3,14.739,0,"[25, 3, 24]"
2025-11-19 23:39:31.601,,vehiclee2@localhost,astar,6,2.043,13,34.12,0,"[17, 17, 17, 25, 25, 17, 17, 25, 25, 17, 17, 25, 25]"
2025-11-19 23:39:33.536,,order_202000001,astar,1,1.531,2,4.985,0.162,"[Node(16), Node(17)]"
