timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:41:15.576,0,warehousee2_test@localhost,warehouse,C,lock,18,28,10
2025-11-19 23:41:15.580,0,warehousee1_test@localhost,warehouse,C,unlock_denied,18,36,54
2025-11-19 23:41:30.578,0,warehousee1_test@localhost,warehouse,C,lock,20,54,34
2025-11-19 23:41:30.579,0,warehousee2_test@localhost,warehouse,C,lock,20,80,60
2025-11-19 23:41:30.583,0,warehousee1_test@localhost,warehouse,C,unlock_denied,20,34,54
2025-11-19 23:41:35.583,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:41:35.584,0,warehousee2_test@localhost,warehouse,A,lock,6,39,33
2025-11-19 23:41:35.587,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:41:40.585,0,warehousee1_test@localhost,warehouse,B,lock,6,44,38
2025-11-19 23:41:40.585,0,warehousee2_test@localhost,warehouse,B,lock,6,44,38
2025-11-19 23:41:40.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,6,38,44
2025-11-19 23:41:50.577,0,warehousee1_test@localhost,warehouse,D,lock,9,20,11
2025-11-19 23:41:50.577,0,warehousee2_test@localhost,warehouse,D,lock,9,80,71
2025-11-19 23:41:50.578,0,warehousee1_test@localhost,warehouse,D,lock,11,11,0
2025-11-19 23:41:50.579,0,warehousee2_test@localhost,warehouse,D,lock,11,71,60
2025-11-19 23:41:50.585,0,warehousee1_test@localhost,warehouse,D,unlock_denied,9,0,9
2025-11-19 23:41:50.585,0,warehousee1_test@localhost,warehouse,D,unlock_denied,11,9,20
2025-11-19 23:42:05.585,0,warehousee1_test@localhost,warehouse,D,lock,11,20,9
2025-11-19 23:42:05.585,0,warehousee2_test@localhost,warehouse,D,lock,11,60,49
2025-11-19 23:42:05.586,0,warehousee1_test@localhost,warehouse,C,lock,11,54,43
2025-11-19 23:42:05.587,0,warehousee2_test@localhost,warehouse,C,lock,11,60,49
2025-11-19 23:42:05.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,11,9,20
2025-11-19 23:42:05.593,0,warehousee1_test@localhost,warehouse,C,unlock_denied,11,43,54
2025-11-19 23:42:10.580,0,warehousee1_test@localhost,warehouse,A,lock,15,44,29
2025-11-19 23:42:10.581,0,warehousee2_test@localhost,warehouse,A,lock,15,33,18
2025-11-19 23:42:10.582,0,warehousee1_test@localhost,warehouse,C,lock,10,54,44
2025-11-19 23:42:10.582,0,warehousee2_test@localhost,warehouse,C,lock,10,49,39
2025-11-19 23:42:10.588,0,warehousee1_test@localhost,warehouse,A,unlock_denied,15,29,44
2025-11-19 23:42:10.588,0,warehousee1_test@localhost,warehouse,C,unlock_denied,10,44,54
2025-11-19 23:42:15.585,0,warehousee1_test@localhost,warehouse,B,lock,3,44,41
