timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 23:38:57.418,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,20 D,
2025-11-19 23:38:57.418,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,20 D,
2025-11-19 23:38:57.420,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 D,
2025-11-19 23:38:57.421,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 D,
2025-11-19 23:38:57.422,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,20 D,
2025-11-19 23:38:57.423,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,20 D,
2025-11-19 23:38:57.616,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 23:38:57.617,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:38:57.618,,warehousee2_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 102000000, ""product"": ""D"", ""quantity"": 20, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:38:57.618,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 23:38:57.622,,vehiclee1@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000000, ""can_fit"": true, ""delivery_time"": 14.273, ""vehicle_id"": ""vehiclee1@localhost""...",
2025-11-19 23:38:57.622,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:38:57.622,,warehousee2_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 102000000, ""product"": ""D"", ""quantity"": 20, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:38:57.623,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 23:38:57.626,,vehiclee2@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000000, ""can_fit"": true, ""delivery_time"": 13.614999999999998, ""vehicle_id"": ""vehiclee...",
2025-11-19 23:38:57.627,,vehiclee3@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:38:57.627,,warehousee2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000000, ""product"": ""D"", ""quantity"": 20, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:38:57.631,,vehiclee3@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000000, ""can_fit"": true, ""delivery_time"": 14.273, ""vehicle_id"": ""vehiclee3@localhost""...",
2025-11-19 23:38:58.625,,warehousee2_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 102000000, ""confirmed"": true}",
2025-11-19 23:38:58.625,,warehousee2_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 102000000, ""confirmed"": false}",
2025-11-19 23:38:58.625,,warehousee2_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000000, ""confirmed"": false}",
2025-11-19 23:39:00.583,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,15 A,
2025-11-19 23:39:00.584,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,15 A,
2025-11-19 23:39:00.585,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,15 A,
2025-11-19 23:39:00.585,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,15 A,
2025-11-19 23:39:00.587,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,15 A,
2025-11-19 23:39:00.587,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,15 A,
2025-11-19 23:39:00.588,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 23:39:00.589,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:00.589,,warehousee2_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 102000001, ""product"": ""A"", ""quantity"": 15, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:39:00.589,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 23:39:00.593,,vehiclee1@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000001, ""can_fit"": true, ""delivery_time"": 14.273, ""vehicle_id"": ""vehiclee1@localhost""...",
2025-11-19 23:39:00.593,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:00.594,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 23:39:00.594,,vehiclee3@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:00.594,,warehousee2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000001, ""product"": ""A"", ""quantity"": 15, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:39:00.599,,vehiclee3@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000001, ""can_fit"": true, ""delivery_time"": 14.273, ""vehicle_id"": ""vehiclee3@localhost""...",
2025-11-19 23:39:01.609,,warehousee2_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 102000001, ""confirmed"": true}",
2025-11-19 23:39:01.609,,warehousee2_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000001, ""confirmed"": false}",
2025-11-19 23:39:01.660,,event_agent@localhost,vehiclee1@localhost,Request,inform,"{""type"": ""arrival"", ""vehicle"": ""vehicle_init_signal_999"", ""time"": 0.1}",
2025-11-19 23:39:01.660,,event_agent@localhost,vehiclee2@localhost,Request,inform,"{""type"": ""arrival"", ""vehicle"": ""vehicle_init_signal_999"", ""time"": 0.1}",
2025-11-19 23:39:01.660,,event_agent@localhost,vehiclee3@localhost,Request,inform,"{""type"": ""arrival"", ""vehicle"": ""vehicle_init_signal_999"", ""time"": 0.1}",
2025-11-19 23:39:01.661,,event_agent@localhost,world@localhost,Request,request,"{""simulation_time"": 10.0, ""requester"": ""event_agent@localhost""}",
2025-11-19 23:39:01.663,,vehiclee1@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee1@localhost"", ""current_location"": 24, ""next_node"": 17, ""t...",
2025-11-19 23:39:01.665,,vehiclee2@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee2@localhost"", ""current_location"": 25, ""next_node"": 17, ""t...",
2025-11-19 23:39:01.666,,world@localhost,event_agent@localhost,Notify,inform,"{""events"": [{""node1_id"": 9, ""node2_id"": 4, ""new_time"": 3.7204, ""new_fuel_consumption"": 0.099, ""insta...",
2025-11-19 23:39:05.587,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,14 A,
2025-11-19 23:39:05.587,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,14 A,
2025-11-19 23:39:05.588,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,14 A,
2025-11-19 23:39:05.589,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,14 A,
2025-11-19 23:39:05.591,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,14 A,
2025-11-19 23:39:05.591,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,14 A,
2025-11-19 23:39:05.592,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 23:39:05.592,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:05.593,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 23:39:05.593,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:05.593,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 23:39:05.594,,vehiclee3@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:05.594,,warehousee2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000002, ""product"": ""A"", ""quantity"": 14, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 23:39:05.598,,vehiclee3@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000002, ""can_fit"": true, ""delivery_time"": 14.273, ""vehicle_id"": ""vehiclee3@localhost""...",
2025-11-19 23:39:06.564,,warehousee2_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000002, ""confirmed"": true}",
2025-11-19 23:39:08.524,,warehousee2_test@localhost,supplierr1_test@localhost,Request,warehouse-buy,74 A,
2025-11-19 23:39:08.524,,warehousee2_test@localhost,supplierr2_test@localhost,Request,warehouse-buy,74 A,
2025-11-19 23:39:08.525,,supplierr1_test@localhost,warehousee2_test@localhost,Confirmation,supplier-accept,74 A,
2025-11-19 23:39:08.525,,supplierr2_test@localhost,warehousee2_test@localhost,Confirmation,supplier-accept,74 A,
2025-11-19 23:39:08.527,,warehousee2_test@localhost,supplierr2_test@localhost,Confirmation,warehouse-confirm,74 A,
2025-11-19 23:39:08.527,,warehousee2_test@localhost,supplierr1_test@localhost,Confirmation,warehouse-deny,74 A,
2025-11-19 23:39:08.528,,supplierr2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 23:39:08.528,,vehiclee1@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:08.528,,supplierr2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 23:39:08.529,,vehiclee2@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:08.529,,supplierr2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 23:39:08.529,,vehiclee3@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:08.530,,supplierr2_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""A"", ""quantity"": 74, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 23:39:08.530,,supplierr2_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""A"", ""quantity"": 74, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 23:39:08.530,,supplierr2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""A"", ""quantity"": 74, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 23:39:08.535,,vehiclee1@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": false, ""delivery_time"": 25.982999999999997, ""vehicle_id"": ""vehic...",
2025-11-19 23:39:08.538,,vehiclee2@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": false, ""delivery_time"": 25.324999999999996, ""vehicle_id"": ""vehic...",
2025-11-19 23:39:08.542,,vehiclee3@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": false, ""delivery_time"": 25.982999999999997, ""vehicle_id"": ""vehic...",
2025-11-19 23:39:10.587,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,11 B,
2025-11-19 23:39:10.587,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,11 B,
2025-11-19 23:39:10.588,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,11 B,
2025-11-19 23:39:10.589,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,11 B,
2025-11-19 23:39:10.590,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,11 B,
2025-11-19 23:39:10.591,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,11 B,
2025-11-19 23:39:10.591,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 23:39:10.592,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:10.592,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 23:39:10.593,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 23:39:10.593,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
