timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:21:16.448,,vehiclee2@localhost,supplierr1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""201000002"", ""can_fit"": true, ""delivery_time"": 12.43, ""vehicle_id"": ""vehiclee2@localhost...",
2025-11-19 22:21:16.451,,vehiclee3@localhost,supplierr1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""201000002"", ""can_fit"": false, ""delivery_time"": 20.066, ""vehicle_id"": ""vehiclee3@localho...",
2025-11-19 22:21:18.018,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,20 A,
2025-11-19 22:21:18.018,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,20 A,
2025-11-19 22:21:18.019,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 A,
2025-11-19 22:21:18.019,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 A,
2025-11-19 22:21:18.021,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,20 A,
2025-11-19 22:21:18.021,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,20 A,
2025-11-19 22:21:18.022,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:21:18.022,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:18.023,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:21:18.023,,vehiclee2@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:18.023,,warehousee1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:21:18.024,,vehiclee3@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
