timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 22:20:33.602,,order_101000000,astar,1,1.017,2,6.546,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:33.603,,vehiclee1@localhost,astar,1,1.014,0,6.546,0,order_101000000
2025-11-19 22:20:33.606,,order_101000000,astar,1,1.015,2,9.251,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:33.607,,vehiclee2@localhost,astar,1,1.014,0,9.251,0,order_101000000
2025-11-19 22:20:33.611,,order_101000000,astar,1,1.019,2,6.546,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:33.612,,vehiclee3@localhost,astar,1,1.037,0,6.546,0,order_101000000
2025-11-19 22:20:34.599,,vehiclee1@localhost,astar,1,1.019,3,6.546,0,"[2, 7, 2]"
2025-11-19 22:20:35.005,,order_102000000,astar,1,1.02,3,10.341,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:35.006,,vehiclee2@localhost,astar,1,1.528,0,10.341,0,order_102000000
2025-11-19 22:20:35.009,,order_102000000,astar,1,1.011,3,7.636,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:35.011,,vehiclee3@localhost,astar,1,1.521,0,7.636,0,order_102000000
2025-11-19 22:20:35.996,,vehiclee3@localhost,astar,1,1.016,3,7.636,0,"[2, 7, 11]"
2025-11-19 22:20:36.441,,order_201000000,astar,1,1.019,3,12.43,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:20:36.443,,vehiclee2@localhost,astar,1,1.016,0,12.43,0,order_201000000
2025-11-19 22:20:36.510,,vehiclee2@localhost,astar,1,1.56,3,12.43,0,"[11, 3, 7]"
2025-11-19 22:20:38.020,,order_101000001,astar,1,1.017,2,6.546,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:38.024,,order_101000001,astar,1,1.019,2,9.251,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:38.026,,vehiclee2@localhost,astar,1,1.013,3,3.745,0,"[7, 7, 2]"
2025-11-19 22:20:38.028,,order_101000001,astar,1,1.02,2,6.546,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:38.031,,vehiclee3@localhost,astar,1,1.528,3,9.251,0,"[11, 7, 2]"
2025-11-19 22:20:39.032,,vehiclee1@localhost,astar,2,2.536,5,6.546,0,"[2, 7, 7, 2, 2]"
2025-11-19 22:20:48.029,,order_102000001,astar,1,1.014,3,7.636,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:48.032,,vehiclee1@localhost,astar,1,1.011,3,7.636,0,"[2, 7, 11]"
2025-11-19 22:20:48.034,,order_102000001,astar,1,1.019,3,10.341,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:48.037,,vehiclee2@localhost,astar,1,1.017,3,4.835,0,"[7, 7, 11]"
2025-11-19 22:20:48.039,,order_102000001,astar,1,1.012,3,7.636,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:49.030,,vehiclee3@localhost,astar,2,2.04,5,7.636,0,"[2, 7, 7, 11, 11]"
2025-11-19 22:20:51.444,,order_201000001,astar,1,1.018,3,9.679,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:20:51.445,,vehiclee1@localhost,astar,1,1.022,3,6.9,0,"[2, 3, 7]"
2025-11-19 22:20:51.447,,order_201000001,astar,1,1.517,3,12.43,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:20:51.450,,order_201000001,astar,1,1.048,3,9.679,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:20:51.451,,vehiclee3@localhost,astar,1,1.016,3,12.43,0,"[11, 3, 7]"
2025-11-19 22:20:53.034,,order_102000002,astar,1,1.541,3,4.835,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:53.035,,vehiclee1@localhost,astar,1,1.025,3,7.636,0,"[2, 7, 11]"
2025-11-19 22:20:53.037,,order_102000002,astar,1,1.017,3,10.341,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:53.040,,vehiclee2@localhost,astar,1,1.014,3,4.835,0,"[7, 7, 11]"
2025-11-19 22:20:53.042,,order_102000002,astar,1,1.013,3,4.835,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:53.043,,vehiclee3@localhost,astar,1,1.013,3,10.341,0,"[11, 7, 11]"
2025-11-19 22:20:53.045,,order_101000002,astar,1,1.01,2,3.745,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:53.047,,vehiclee1@localhost,astar,1,1.517,3,6.546,0,"[2, 7, 2]"
2025-11-19 22:20:53.049,,order_101000002,astar,1,1.554,2,9.251,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:53.051,,vehiclee2@localhost,astar,1,1.013,3,3.745,0,"[7, 7, 2]"
2025-11-19 22:20:53.054,,order_101000002,astar,1,1.015,2,3.745,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:53.055,,vehiclee3@localhost,astar,1,1.014,3,9.251,0,"[11, 7, 2]"
2025-11-19 22:20:58.035,,order_102000003,astar,1,1.027,3,4.835,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:58.039,,vehiclee1@localhost,astar,3,4.048,7,14.182,0,"[2, 7, 7, 2, 7, 11, 11]"
2025-11-19 22:20:58.041,,order_102000003,astar,1,1.012,3,10.341,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:58.043,,vehiclee2@localhost,astar,1,1.517,3,4.835,0,"[7, 7, 11]"
2025-11-19 22:20:58.045,,order_102000003,astar,1,1.011,3,4.835,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:20:58.046,,vehiclee3@localhost,astar,1,1.011,3,10.341,0,"[11, 7, 11]"
2025-11-19 22:20:58.049,,order_101000003,astar,1,1.012,2,3.745,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:58.052,,vehiclee1@localhost,astar,3,3.082,7,20.11,0,"[2, 7, 7, 2, 7, 2, 11]"
2025-11-19 22:20:58.055,,order_101000003,astar,1,1.524,2,9.251,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:58.057,,vehiclee2@localhost,astar,1,1.016,3,3.745,0,"[7, 7, 2]"
2025-11-19 22:20:58.059,,order_101000003,astar,1,1.529,2,3.745,0.122,"[Node(7), Node(2)]"
2025-11-19 22:20:58.060,,vehiclee3@localhost,astar,1,1.011,3,9.251,0,"[11, 7, 2]"
2025-11-19 22:20:59.259,,vehiclee1@localhost,astar,2,2.036,5,14.182,0,"[2, 7, 2, 7, 11]"
2025-11-19 22:21:03.030,,order_101000004,astar,1,1.012,2,6.546,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:03.033,,order_101000004,astar,1,1.011,2,5.899,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:03.037,,vehiclee2@localhost,astar,3,3.058,7,20.632,0,"[7, 7, 2, 7, 11, 7, 2]"
2025-11-19 22:21:03.039,,order_101000004,astar,1,1.011,2,7.42,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:03.040,,vehiclee3@localhost,astar,1,1.013,3,9.251,0,"[11, 7, 2]"
2025-11-19 22:21:04.030,,vehiclee1@localhost,astar,3,2.539,7,20.728,0,"[2, 7, 2, 7, 2, 7, 11]"
2025-11-19 22:21:13.025,,order_101000005,astar,1,1.029,2,3.745,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:13.028,,order_101000005,astar,1,1.019,2,8.342,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:13.032,,vehiclee2@localhost,astar,3,2.567,7,20.632,0,"[7, 7, 11, 7, 2, 7, 2]"
2025-11-19 22:21:13.034,,order_101000005,astar,1,1.017,2,7.42,0.122,"[Node(7), Node(2)]"
2025-11-19 22:21:13.035,,vehiclee3@localhost,astar,1,1.021,3,9.251,0,"[11, 7, 2]"
2025-11-19 22:21:14.028,,vehiclee1@localhost,astar,4,3.057,9,23.855,0,"[7, 7, 2, 7, 2, 7, 7, 2, 11]"
2025-11-19 22:21:16.443,,order_201000002,astar,1,1.014,3,9.679,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:21:16.444,,vehiclee1@localhost,astar,1,1.03,3,12.43,0,"[11, 3, 7]"
2025-11-19 22:21:16.446,,order_201000002,astar,1,1.014,3,7.508,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:21:16.450,,order_201000002,astar,1,1.034,3,10.935,0.258,"[Node(3), Node(8), Node(7)]"
2025-11-19 22:21:16.451,,vehiclee3@localhost,astar,1,1.018,3,12.43,0,"[11, 3, 7]"
2025-11-19 22:21:18.026,,order_102000004,astar,1,1.025,3,4.835,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:21:18.033,,order_102000004,astar,1,1.534,3,9.432,0.212,"[Node(7), Node(6), Node(11)]"
2025-11-19 22:21:18.037,,vehiclee2@localhost,astar,3,2.551,7,21.722,0,"[7, 7, 2, 7, 11, 7, 11]"
2025-11-19 22:21:18.039,,order_102000004,astar,1,1.024,3,8.51,0.212,"[Node(7), Node(6), Node(11)]"
