timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 22:33:49.248,0,warehousee1_test@localhost,warehouse,B,lock,9,44,35
2025-11-19 22:33:49.248,0,warehousee2_test@localhost,warehouse,B,lock,9,21,12
2025-11-19 22:33:49.828,0,warehousee1_test@localhost,warehouse,B,unlock_denied,9,35,44
2025-11-19 22:33:53.890,0,warehousee1_test@localhost,warehouse,C,lock,17,52,35
2025-11-19 22:33:53.890,0,warehousee2_test@localhost,warehouse,C,lock,17,39,22
2025-11-19 22:33:53.894,0,warehousee1_test@localhost,warehouse,C,unlock_denied,17,35,52
2025-11-19 22:33:56.900,0,warehousee1_test@localhost,warehouse,D,lock,6,66,60
2025-11-19 22:33:56.900,0,warehousee2_test@localhost,warehouse,D,lock,6,66,60
2025-11-19 22:33:56.901,0,warehousee1_test@localhost,warehouse,C,lock,1,52,51
2025-11-19 22:33:56.902,0,warehousee2_test@localhost,warehouse,C,lock,1,22,21
2025-11-19 22:33:56.908,0,warehousee1_test@localhost,warehouse,D,unlock_denied,6,60,66
2025-11-19 22:33:56.908,0,warehousee1_test@localhost,warehouse,C,unlock_denied,1,51,52
2025-11-19 22:34:01.902,0,warehousee1_test@localhost,warehouse,A,lock,4,22,18
2025-11-19 22:34:01.902,0,warehousee2_test@localhost,warehouse,A,lock,4,69,65
2025-11-19 22:34:01.906,0,warehousee1_test@localhost,warehouse,A,unlock_denied,4,18,22
2025-11-19 22:34:06.902,0,warehousee1_test@localhost,warehouse,D,lock,1,66,65
2025-11-19 22:34:06.902,0,warehousee2_test@localhost,warehouse,D,lock,1,60,59
2025-11-19 22:34:06.903,0,warehousee1_test@localhost,warehouse,D,lock,12,65,53
2025-11-19 22:34:06.903,0,warehousee2_test@localhost,warehouse,D,lock,12,59,47
2025-11-19 22:34:06.910,0,warehousee1_test@localhost,warehouse,D,unlock_denied,1,53,54
2025-11-19 22:34:06.910,0,warehousee1_test@localhost,warehouse,D,unlock_denied,12,54,66
2025-11-19 22:34:11.893,0,warehousee1_test@localhost,warehouse,C,lock,2,52,50
2025-11-19 22:34:11.893,0,warehousee2_test@localhost,warehouse,C,lock,2,21,19
2025-11-19 22:34:11.897,0,warehousee1_test@localhost,warehouse,C,unlock_denied,2,50,52
2025-11-19 22:34:21.908,0,warehousee1_test@localhost,warehouse,D,lock,17,66,49
2025-11-19 22:34:21.909,0,warehousee2_test@localhost,warehouse,D,lock,17,47,30
2025-11-19 22:34:21.912,0,warehousee1_test@localhost,warehouse,D,unlock_denied,17,49,66
2025-11-19 22:34:26.897,0,warehousee1_test@localhost,warehouse,C,lock,15,52,37
