timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:33:49.246,,storee1_test@localhost,warehousee1_test@localhost,Notify,store-buy,9 B,
2025-11-19 22:33:49.247,,storee1_test@localhost,warehousee2_test@localhost,Notify,store-buy,9 B,
2025-11-19 22:33:49.249,,warehousee1_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,9 B,
2025-11-19 22:33:49.249,,warehousee2_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,9 B,
2025-11-19 22:33:49.251,,storee1_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,9 B,
2025-11-19 22:33:49.252,,storee1_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,9 B,
2025-11-19 22:33:49.827,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:33:49.828,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.829,,warehousee2_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""B"", ""quantity"": 9, ""sender"": ""warehousee2_test@localhost"", ""recei...",
2025-11-19 22:33:49.829,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:33:49.833,,vehiclee1@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 6.697, ""vehicle_id"": ""vehiclee1@localhost""}",
2025-11-19 22:33:49.833,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.833,,warehousee2_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""B"", ""quantity"": 9, ""sender"": ""warehousee2_test@localhost"", ""recei...",
2025-11-19 22:33:49.834,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:33:49.837,,vehiclee2@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 6.763, ""vehicle_id"": ""vehiclee2@localhost""}",
2025-11-19 22:33:49.838,,vehiclee3@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.839,,warehousee2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""B"", ""quantity"": 9, ""sender"": ""warehousee2_test@localhost"", ""recei...",
2025-11-19 22:33:49.842,,vehiclee3@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 6.697, ""vehicle_id"": ""vehiclee3@localhost""}",
2025-11-19 22:33:49.944,,warehousee2_test@localhost,supplierr1_test@localhost,Request,warehouse-buy,68 B,
2025-11-19 22:33:49.945,,warehousee2_test@localhost,supplierr2_test@localhost,Request,warehouse-buy,68 B,
2025-11-19 22:33:49.946,,supplierr1_test@localhost,warehousee2_test@localhost,Confirmation,supplier-accept,68 B,
2025-11-19 22:33:49.947,,supplierr2_test@localhost,warehousee2_test@localhost,Confirmation,supplier-accept,68 B,
2025-11-19 22:33:49.949,,warehousee2_test@localhost,supplierr2_test@localhost,Confirmation,warehouse-confirm,68 B,
2025-11-19 22:33:49.950,,warehousee2_test@localhost,supplierr1_test@localhost,Confirmation,warehouse-deny,68 B,
2025-11-19 22:33:49.950,,supplierr2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:33:49.951,,vehiclee1@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.951,,supplierr2_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""B"", ""quantity"": 68, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 22:33:49.951,,supplierr2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:33:49.955,,vehiclee1@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": true, ""delivery_time"": 12.744, ""vehicle_id"": ""vehiclee1@localhos...",
2025-11-19 22:33:49.955,,vehiclee2@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.956,,supplierr2_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""B"", ""quantity"": 68, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 22:33:49.956,,supplierr2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:33:49.960,,vehiclee2@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": true, ""delivery_time"": 10.669, ""vehicle_id"": ""vehiclee2@localhos...",
2025-11-19 22:33:49.960,,vehiclee3@localhost,supplierr2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:49.961,,supplierr2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": ""202000000"", ""product"": ""B"", ""quantity"": 68, ""sender"": ""supplierr2_test@localhost"", ""rec...",
2025-11-19 22:33:49.961,,supplierr2_test@localhost,vehiclee2@localhost,Notify,order-confirmation,"{""orderid"": ""202000000"", ""confirmed"": true}",
2025-11-19 22:33:49.961,,supplierr2_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": ""202000000"", ""confirmed"": false}",
2025-11-19 22:33:49.965,,vehiclee3@localhost,supplierr2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""202000000"", ""can_fit"": true, ""delivery_time"": 12.744, ""vehicle_id"": ""vehiclee3@localhos...",
2025-11-19 22:33:50.824,,warehousee2_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": true}",
2025-11-19 22:33:50.825,,warehousee2_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": false}",
2025-11-19 22:33:50.825,,warehousee2_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": false}",
2025-11-19 22:33:53.888,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,17 C,
2025-11-19 22:33:53.889,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,17 C,
2025-11-19 22:33:53.891,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,17 C,
2025-11-19 22:33:53.891,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,17 C,
2025-11-19 22:33:53.893,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-confirm,17 C,
2025-11-19 22:33:53.893,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-deny,17 C,
2025-11-19 22:33:53.894,,warehousee2_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:33:53.894,,vehiclee1@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:53.895,,warehousee2_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:33:53.895,,vehiclee2@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:53.896,,warehousee2_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:33:53.896,,vehiclee3@localhost,warehousee2_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:33:53.896,,warehousee2_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000000, ""product"": ""C"", ""quantity"": 17, ""sender"": ""warehousee2_test@localhost"", ""rece...",
2025-11-19 22:33:53.900,,vehiclee3@localhost,warehousee2_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000000, ""can_fit"": true, ""delivery_time"": 9.154, ""vehicle_id"": ""vehiclee3@localhost""}",
2025-11-19 22:33:54.899,,warehousee2_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000000, ""confirmed"": true}",
